"NATIONAL AGGREGATE TABLE 3-1: LOANS SOLD, BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF ",,,,,,,,,,,,,,,,,Page 1  of  1,
"PURCHASER (INCLUDES ORIGINATIONS AND PURCHASED LOANS), 2007",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FINAL 2007 NATIONAL AGGREGATES,
,,,,,,,,,,,COMMERCIAL ,,"INSURANCE CO, ",,,,,
,,,,,,,,,,,"BANK, SAVINGS ",,"CREDIT UNION, ",,,,,
,,,,,,,,,,PRIVATE ,"BANK, OR SAVING ",,"MORTGAGE BK, OR ",,,,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,SECURITI- ,,,,,AFFILIATE OF ,,OTHER ,
,,,,,,,,,,,ASSOC ,,FINANCE CO,,,,,
CHARACTERISTICS,FANNIE MAE,,,GINNIE MAE,,FREDDIE MAC,,FARMER MAC,,ZATION,,,,,INSTITUTION,,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  5/,,,,,,,,,,,,,,,,,,
AMERICAN INDIAN/ALASKA NATIVE,9528,1929358,2212,336788,6235,1230997,2,268,2752,764116,2143,434624,3208,607339,10953,2284905,5452,1097530
ASIAN,81706,20952803,3153,610606,52064,13243734,8,1852,18766,7883668,18141,5787576,21408,5838484,90221,26829957,41108,12069086
BLACK OR AFRICAN AMERICAN,136626,24513037,54544,8861422,70789,12712786,23,3251,39632,8302277,33143,6203839,58835,10599658,188625,34974115,92651,17206935
NAT HAWAIIAN/OTHER PACIFIC ISLND,8117,1985656,1529,292677,5094,1217471,3,544,2500,849800,2139,606039,2844,702936,10671,2853096,5854,1538558
WHITE,1548190,301015276,266991,41022367,1058600,199536089,316,52979,269387,80146530,379502,82951115,544637,104936096,1606966,335775748,837804,173269530
2 OR MORE MINORITY RACES,897,204668,408,61275,1346,286737,,,276,83475,239,69758,320,77458,1104,263888,559,116001
JOINT (WHITE/MINORITY RACE) ,21244,4900880,6101,1123403,14885,3354982,6,829,4297,1456938,6059,1599245,8527,1878596,23915,5800820,14893,3541379
RACE NOT AVAILABLE  6/,599921,128942202,136116,23047898,323880,69397987,19,15506,322685,72396380,112591,32318255,221336,47876355,587037,136943284,155808,44236148
ETHNICITY 7/,,,,,,,,,,,,,,,,,,
HISPANIC OR LATINO,184734,38557832,34438,5494967,105458,21423692,23,3354,55037,14975529,47039,9953244,65687,13582263,259822,56239292,110102,24132466
NOT HISPANIC OR LATINO,1605249,313196545,295332,45877002,1091646,207472568,331,55601,281320,83833901,395690,87873537,572930,110616116,1656229,348424185,887145,184312676
JOINT (HISPANIC OR LATINO/ NOT ,24639,5506797,7058,1255308,16867,3690831,3,488,4625,1447863,6180,1465229,9539,1996663,26594,6104551,16321,3666604
HISPANIC OR LATINO),,,,,,,,,,,,,,,,,,
ETHNICITY NOT AVAILABLE 6/,591607,127182706,134226,22729159,318922,68393692,20,15786,319313,71625891,105048,30678441,212959,46321880,576847,134957785,140561,40963421
MINORITY STATUS 8/,,,,,,,,,,,,,,,,,,
WHITE NON-HISPANIC,1342617,258089445,228130,34749371,940599,175441258,290,48931,212358,64320113,328345,71782169,470459,89570620,1326452,274782677,713129,145968754
"OTHERS, INCLUDING HISPANIC",454796,95757971,106248,17483235,263619,55226078,67,10512,124090,34673904,112003,25436109,166218,34399232,596483,131850785,278840,61531397
INCOME  9/,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA/MD MEDIAN,117938,11819333,24022,2067919,72408,7000051,39,3249,13135,1352851,21520,2116873,34553,3608954,99987,9654778,54015,5302057
50-79% OF MSA/MD MEDIAN,387718,55116517,105325,13233730,231697,31447036,135,16553,50237,6359760,74669,9572524,121196,16059781,359285,47242510,190703,25237002
80-99% OF MSA/MD MEDIAN,289436,50038457,82597,12740319,184077,30434353,72,10835,41806,6338425,57396,8732205,96572,15102072,286301,45312722,145007,23100225
100-119% OF MSA/MD MEDIAN,264678,51063628,67956,11626092,167752,31294735,22,3311,40889,7267350,53962,9232163,89947,15635156,268647,47777400,128392,23042726
120% OR MORE OF MSA/MD MEDIAN,1077277,254497283,125334,24106278,683151,158434343,87,23295,246830,92234005,256929,73230700,355285,85626977,1188853,321754089,539950,146044615
INCOME NOT AVAILABLE  6/,262912,60941338,63769,11310567,172146,38366210,18,17685,266777,58215207,82564,25785817,158940,35496055,311970,69829639,80703,27252174
CENSUS TRACT CHARACTERISTICS  10/,,,,,,,,,,,,,,,,,,
RACIAL/ETHNIC COMPOSITION  11/,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY,833104,156074782,152061,22809904,570158,103425572,192,47478,160948,38558178,175800,38101672,270925,51087441,763265,150846804,357126,70925872
10-19% MINORITY,550301,113124655,104262,17292765,352360,71040874,77,11988,136124,38727577,123388,30572007,197214,40673991,546744,121716256,258483,58586598
20-49% MINORITY,628560,131432532,135809,22444475,381813,78514403,75,11775,193683,52614132,148849,36080232,237979,48364622,691711,154770174,319294,73545553
50-79% MINORITY,228877,49438488,46406,7368003,125826,27015705,19,2331,93276,24190696,56653,13842836,89375,18695882,291523,66002327,122066,28031979
80-100% MINORITY,158066,33275482,30447,5167122,80627,16916587,10,1356,73869,17324264,41898,9999566,60010,12591836,220858,48048763,81000,18747561
INCOME  12/ 13/,,,,,,,,,,,,,,,,,,
LOW INCOME,42421,8142045,6727,1283509,23097,4348376,9,868,17429,3505170,9903,2164697,15343,2800247,54136,10134646,21727,4460244
MODERATE  INCOME,333149,59864811,75605,11050541,184708,32057628,42,4928,111528,22079834,74023,14376074,119730,20486452,383075,69066097,165202,31265049
MIDDLE INCOME,1252705,236097165,287890,44776602,800899,146047436,265,46647,312510,67468800,271018,53801767,440428,79180510,1273736,243043912,584587,113466287
UPPER INCOME,770072,179026563,98713,17962323,501679,114341639,57,22485,216170,78251435,191450,58196394,279753,68877423,802201,218779669,366093,100530597
,,,,,,,,,,,,,,,,,,
TOTAL  14/,2406229,484443880,471054,75356436,1532893,300980783,377,75229,660295,171883184,553957,129970451,861115,172516922,2519492,545725813,1154129,253075167
,,,,,,,,,,,,,,,,Report Date:,05/22/2008,
