"NATIONAL AGGREGATE TABLE 3: LOANS SOLD , BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF PURCHASER, 2002",,,,,,,,,,,,,,,,,,Page 1  of  1
,,,,,,,,,,,,,,,,,,FINAL 2002 NATIONAL AGGREGATES
,,,,,TYPE OF PURCHASER,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIFE ,,AFFILIATE   ,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,COMMERCIAL ,SAVINGS BANK ,,,INSURANCE ,,OF ,OTHER ,
CHARACTERISTICS,FNMA,,GNMA,,FHLMC,,FAMC,,,BANK,OR S&L,,,COMPANY,,INSTITUTION,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  4/                                                                                                                                                                                                                                                  ,,,,,,,,,,,,,,,,,,
AMERICAN IND/ALASKAN NATIVE                                                                                                                                                                                                                               ,12926,1835632,3943,452572,5907,830194,11,1688,674,107867,1245,159769,34,5433,2893,496700,13519,2073696
ASIAN/PACIFIC ISLANDER                                                                                                                                                                                                                                    ,172198,32329115,14024,1988396,109843,20788442,61,11134,14118,3394669,7338,1815305,731,144305,45825,12171985,122267,27674495
BLACK                                                                                                                                                                                                                                                     ,125271,16346510,113778,13518733,68155,8969546,273,45547,18239,2496953,10034,1375268,1397,194582,54253,6679987,202483,25195101
HISPANIC                                                                                                                                                                                                                                                  ,212575,30200953,130664,15898697,114331,15652606,198,26459,23343,3362427,12822,1923198,994,136934,78205,11079417,275888,38445140
WHITE                                                                                                                                                                                                                                                     ,2752363,401106823,544833,64656028,2009477,288629169,1951,251779,229018,43036476,123753,22583377,12167,1838424,632979,126046810,2074765,347755632
OTHER                                                                                                                                                                                                                                                     ,44676,7046309,11700,1516944,74702,11605820,30,4388,2856,597697,1510,459735,195,27664,10595,2289206,39859,7568947
JOINT (WHITE/MINORITY)   5/                                                                                                                                                                                                                               ,79589,13434698,25646,3438952,54256,9123791,54,8068,7212,1544501,3788,776573,2044,314595,20457,4573396,74697,13850339
RACE NOT AVAILABLE  6/                                                                                                                                                                                                                                    ,1077383,163592276,313567,38293860,553703,83936202,128,17694,87902,21925107,30393,5789435,2032,435150,322285,62917532,973131,163452552
GENDER                                                                                                                                                                                                                                                    ,,,,,,,,,,,,,,,,,,
MALE                                                                                                                                                                                                                                                      ,841905,118652925,262040,30264423,551684,76514667,765,91940,78450,13238811,42477,7237976,2710,374005,242765,43098467,817936,125418914
FEMALE                                                                                                                                                                                                                                                    ,687360,88857073,188561,20272422,423747,52528885,637,69564,56074,8079752,31952,4608155,3302,426577,179627,26540939,601177,81028572
JOINT (MALE/FEMALE)   7/                                                                                                                                                                                                                                  ,2024219,318876169,429371,55302366,1624206,252219540,1261,200473,188252,38505472,99162,19657320,12997,2101115,514894,112053530,1624987,296959817
GENDER NOT AVAILABLE   6/                                                                                                                                                                                                                                 ,923503,139507054,278183,33924971,390737,58272678,43,4780,60588,16642131,17292,3379209,586,195764,230206,44562097,732459,122601082
INCOME  8/                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA MEDIAN                                                                                                                                                                                                                               ,217396,19533640,77909,6933590,134875,11769262,177,12870,19243,1731023,10872,1012590,642,50458,59327,4726783,198283,16618500
50-79% OF MSA MEDIAN                                                                                                                                                                                                                                      ,664660,79047014,216118,24757539,414769,48106728,460,56901,56750,6792723,31578,3833575,1690,175207,164814,17885259,550105,60681970
80-99% OF MSA MEDIAN                                                                                                                                                                                                                                      ,516142,72316184,121863,16041886,326799,44894337,273,40192,39971,5730799,22665,3292271,1107,141192,115560,15158419,391661,51364913
100-119% OF MSA MEDIAN                                                                                                                                                                                                                                    ,474041,72817704,82729,11616954,313698,47444296,190,32685,36052,5826200,20461,3335892,818,115866,104828,15863400,348429,51522713
120% OR MORE OF MSA MEDIAN                                                                                                                                                                                                                                ,1544906,277877905,115539,16980699,1085100,195065700,575,139539,148866,38036987,73346,17709811,13254,2209111,449770,123221195,1261402,290784545
INCOME NOT AVAILABLE  6/                                                                                                                                                                                                                                  ,553625,86019059,435235,53217615,310958,46745646,449,44733,46474,13433711,16030,3508571,1049,268191,162708,35049284,656356,111334944
CENSUS TRACT CHARACTERISTICS  9/,,,,,,,,,,,,,,,,,,
RACIAL COMPOSITION  10/                                                                                                                                                                                                                                   ,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY                                                                                                                                                                                                                                    ,2066963,306527273,412648,50400465,1490763,219252998,1035,136756,166390,34249785,84915,15580860,9935,1593214,478599,95892399,1485369,252696266
10-19% MINORITY                                                                                                                                                                                                                                           ,870787,138620303,248320,31482790,532904,85664531,353,59755,83500,18912448,38987,7998307,4297,710639,247011,56641308,783304,148445405
20-49% MINORITY                                                                                                                                                                                                                                           ,711777,113848630,255734,31307065,408981,66124208,384,66844,66017,13182577,32860,6137307,3138,490004,212523,40732595,741971,124493323
50-79% MINORITY                                                                                                                                                                                                                                           ,205077,32645466,75113,9178447,100797,16059538,138,24646,17945,3291577,10832,1919230,755,114765,63768,10997694,231202,35961942
80-100% MINORITY                                                                                                                                                                                                                                          ,108193,15041514,52252,6655798,47244,6423597,159,31791,11143,1626636,7051,1009298,433,51151,42296,5658771,159965,20033576
INCOME  11/                                                                                                                                                                                                                                               ,,,,,,,,,,,,,,,,,,
LOW INCOME                                                                                                                                                                                                                                                ,43715,5714449,15613,1876474,21833,2926378,59,12451,4894,821564,2961,423799,163,23218,17289,2400724,62055,7275527
MODERATE  INCOME                                                                                                                                                                                                                                          ,350845,45830112,150685,17102712,195615,24872093,235,34002,34839,5096098,19750,2794249,1558,201836,108709,14798328,396994,49311771
MIDDLE INCOME                                                                                                                                                                                                                                             ,2008338,288342075,628434,76925301,1297900,183469023,1274,166436,159493,26999023,85659,13838352,9506,1388614,485522,77163458,1685823,247221109
UPPER INCOME                                                                                                                                                                                                                                              ,1565943,267405864,254134,33559797,1069654,182548599,502,107011,147421,38504134,66391,15599763,7319,1343666,444292,117341047,1257307,277809495
                                                                                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,
TOTAL  12/                                                                                                                                                                                                                                                ,4476987,665893221,1158156,139764440,2990374,439535770,2707,366998,383365,76466344,190883,34882660,19596,3097696,1167493,226255287,3776618,626017334
,,,,,,,,,,,,,,,,Report Date:,05/19/2003,
