"NATIONAL AGGREGATE TABLE 3: LOANS SOLD , BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF PURCHASER, 2000",,,,,,,,,,,,,,,,,,Page 1  of  1
,,,,,,,,,,,,,,,,,,FINAL 2000 NATIONAL AGGREGATES
,,,,,TYPE OF PURCHASER,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIFE ,,AFFILIATE   ,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,COMMERCIAL ,SAVINGS BANK ,,,INSURANCE ,,OF ,OTHER ,
CHARACTERISTICS,FNMA,,GNMA,,FHLMC,,FAMC,,,BANK,OR S&L,,,COMPANY,,INSTITUTION,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  4/,,,,,,,,,,,,,,,,,,
AMERICAN IND/ALASKAN NATIVE,3279,389344,2301,242057,1845,219595,2,140,488,54766,315,42054,2,101,1953,216006,9623,995949
ASIAN/PACIFIC ISLANDER,43277,6710576,10219,1307172,26594,4114699,7,1207,4982,949858,4686,879503,18,2840,21346,4426682,47707,8305288
BLACK,43066,4575444,83209,8804519,24902,2869400,139,23488,15202,1623623,5607,604224,69,6872,40308,3734652,156024,14621017
HISPANIC,62541,7220992,99287,10806732,40182,4539348,101,13742,15138,1608300,5669,785434,45,5045,50770,5128191,148842,15910893
WHITE,819517,102626921,361933,38920258,588758,73299503,375,34358,110460,14200927,64729,9055378,1275,163947,378251,55473395,1064466,128566731
OTHER,11129,1522911,5487,776334,7588,1035360,6,1483,1793,259916,777,130473,10,1447,6037,993888,18290,2320763
JOINT (WHITE/MINORITY)   5/,21914,3258230,17672,2156602,14738,2114379,12,1585,3199,488591,2123,314234,27,4593,11649,1954279,36250,4915281
RACE NOT AVAILABLE  6/,356628,48800806,262739,28649160,134105,18495926,14,2722,41710,7005036,12195,1778598,62,12584,136437,19713134,476950,57022655
GENDER,,,,,,,,,,,,,,,,,,
MALE,259496,30629795,168688,17380451,179819,21147407,171,18306,44779,5369310,21145,2767724,331,35360,144560,18635905,447362,49136373
FEMALE,210756,22756219,118567,11418488,139289,14902615,151,16681,32265,3240087,15759,1836158,245,26109,109134,11492948,348365,33487303
JOINT (MALE/FEMALE)   7/,565825,77088513,280689,32708696,418238,56671035,326,41262,83561,11750755,51196,7897066,896,126089,275027,44661121,786501,103384700
GENDER NOT AVAILABLE   6/,325275,44630773,274903,30155199,101366,13967153,8,2476,32367,5830865,8001,1088950,36,9871,118030,16850253,375914,46648386
INCOME  8/,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA MEDIAN,69676,5136242,58109,4204936,42812,2963896,37,2552,12324,794842,4742,326566,77,6058,40864,2424800,149982,8720157
50-79% OF MSA MEDIAN,191113,18606481,187516,18366558,126455,12120227,132,11865,33391,2910052,14130,1340893,293,25479,102580,8216100,346970,28477436
80-99% OF MSA MEDIAN,145578,17207717,121210,14109516,97447,11445692,85,10790,22527,2314582,11945,1367606,205,20845,67298,6345993,225335,22571531
100-119% OF MSA MEDIAN,134756,17873156,83948,10603925,91110,12133842,63,9901,19252,2205871,11507,1462277,165,19822,56210,6307962,181494,20512651
120% OR MORE OF MSA MEDIAN,425217,66836343,114487,15546300,301294,47376154,117,25688,65825,11510061,41290,7302367,533,91620,235744,48948433,538016,93429870
INCOME NOT AVAILABLE  6/,218395,31343512,197803,22120992,59621,8673728,68,7362,17389,4456170,4127,814472,30,8246,67112,11865315,241464,36691824
CENSUS TRACT CHARACTERISTICS  9/,,,,,,,,,,,,,,,,,,
RACIAL COMPOSITION  10/,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY,620960,81089765,289421,31909148,406224,52980490,220,23464,77721,11058637,40295,5706515,988,132882,249997,38306097,699299,88939560
10-19% MINORITY,258968,35518184,174222,19878815,151982,20727353,65,8752,36978,5767440,19456,2941686,159,19726,127051,21267511,373531,51000118
20-49% MINORITY,206983,28379418,188282,20817923,114000,15359020,57,7152,32318,4641867,17838,2550571,101,13013,113662,15997188,376067,45878512
50-79% MINORITY,59784,7835001,59567,6504559,29299,3755885,36,5838,10654,1414775,5946,936398,26,2565,36193,4474333,126131,14247305
80-100% MINORITY,35103,3890223,45993,5341710,15548,1757080,119,22435,8685,943210,3902,434729,27,3556,27928,2672559,102306,9547740
INCOME  11/,,,,,,,,,,,,,,,,,,
LOW INCOME,15475,1628410,14238,1507614,7693,857775,21,3592,3435,339589,1700,175739,29,4331,13137,1171880,43327,3614664
MODERATE  INCOME,114573,12520967,119685,11970212,63180,6697087,60,9722,22474,2306649,9950,1118540,122,11080,73277,6989495,245204,22193298
MIDDLE INCOME,604755,75788468,450320,49763269,369036,45678163,325,38129,83887,10283987,42579,5551180,779,94076,269291,32065273,869328,95902132
UPPER INCOME,448951,66915625,178459,21644417,278460,41422083,91,16198,60210,11163750,33143,5712478,371,62255,213829,43829984,519946,87897187
 ,,,,,,,,,,,,,,,,,,
TOTAL  12/,1361352,175105300,842847,91662834,838712,106688210,656,78725,192974,26191219,96101,13589898,1508,197429,646751,91640227,1958194,232664200
,,,,,,,,,,,,,,,,Report Date:,05/25/2001,
