"NATIONAL AGGREGATE TABLE 3-1: LOANS SOLD, BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF ",,,,,,,,,,,,,,,,,Page 1  of  1,
"PURCHASER (INCLUDES ORIGINATIONS AND PURCHASED LOANS), 2006",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FINAL 2006 NATIONAL AGGREGATES,
,,,,,,,,,,,COMMERCIAL ,,"INSURANCE CO, ",,,,,
,,,,,,,,,,,"BANK, SAVINGS ",,"CREDIT UNION, ",,,,,
,,,,,,,,,,PRIVATE ,"BANK, OR SAVING ",,"MORTGAGE BK, OR ",,,,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,SECURITI- ,,,,,AFFILIATE OF ,,OTHER ,
,,,,,,,,,,,ASSOC ,,FINANCE CO,,,,,
CHARACTERISTICS,FANNIE MAE,,,GINNIE MAE,,FREDDIE MAC,,FARMER MAC,,ZATION,,,,,INSTITUTION,,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  5/,,,,,,,,,,,,,,,,,,
AMERICAN INDIAN/ALASKA NATIVE,9830,1906913,2019,283142,5287,1015074,,,9359,2367661,3939,873244,9611,1864014,10637,2206198,15697,3252724
ASIAN,74132,17758732,3179,557173,49851,12083341,11,1667,52787,18156643,29607,9104522,59339,15371471,79217,22789013,98908,27022183
BLACK OR AFRICAN AMERICAN,109171,18572123,42551,6439563,49112,8730184,22,4496,146800,27259533,59480,10139389,174852,29254236,163932,27575349,281417,46871651
NAT HAWAIIAN/OTHER PACIFIC ISLND,7283,1666319,2499,401599,4009,913288,4,407,8352,2427911,3731,948361,11085,2621997,9788,2435187,32047,10432221
WHITE,1403912,255922269,251114,36041000,945786,173163928,431,60087,775021,183016628,533215,112018364,1155944,211960458,1352218,269184646,1729513,335530609
2 OR MORE MINORITY RACES,808,165402,174,30651,406,86304,,,724,175380,340,75243,798,159283,1239,279794,976,200302
JOINT (WHITE/MINORITY RACE) ,21029,4504511,6309,1094088,14124,3105705,5,1287,11538,3116046,8504,2228583,16830,3486527,20751,4894833,26533,5923725
RACE NOT AVAILABLE  6/,586672,119245192,126592,20458133,290481,58587286,117,22411,741029,167090118,308638,57674703,437576,84883277,773525,168181806,558972,114785111
ETHNICITY 7/,,,,,,,,,,,,,,,,,,
HISPANIC OR LATINO,160122,31435053,33014,4585287,77470,15164097,45,7929,217027,50852457,83866,17371357,240312,47484239,248455,50642863,406142,83684144
NOT HISPANIC OR LATINO,1470699,269089509,269674,39325246,984401,181984620,429,60390,785185,184607704,556382,118055776,1189461,216509852,1367897,273094013,1794308,344284468
JOINT (HISPANIC OR LATINO/ NOT ,23753,5024972,7054,1173874,16249,3448552,3,850,13666,3447989,8983,2136795,19127,3872755,22088,4810526,30967,6444163
HISPANIC OR LATINO),,,,,,,,,,,,,,,,,,
ETHNICITY NOT AVAILABLE 6/,558263,114191927,124695,20220942,280936,57087841,113,21186,729732,164701770,298223,55498481,417135,81734417,772867,168999424,512646,109605751
MINORITY STATUS 8/,,,,,,,,,,,,,,,,,,
WHITE NON-HISPANIC,1224892,220705980,213759,30696842,853392,154821317,383,51610,559184,132279258,445245,93539580,909841,163461309,1087279,214240390,1325886,252260597
"OTHERS, INCLUDING HISPANIC",393451,78401965,93699,14069614,209824,43151072,90,16636,446377,104283172,192924,41621546,517013,101053467,539386,112027291,865855,178194321
INCOME  9/,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA/MD MEDIAN,118079,11061400,26873,2294995,63429,5975325,48,4000,39333,3634434,30827,2817139,70367,6516400,87650,7873810,108771,9702088
50-79% OF MSA/MD MEDIAN,351048,46781088,102668,12494185,197512,25904354,209,25495,163652,18967912,108904,13151853,255807,30317080,304231,35449650,378642,43350577
80-99% OF MSA/MD MEDIAN,269051,44058554,73762,10919744,163633,26517375,83,12146,143487,20515804,85182,12367323,209546,29694511,251363,34961384,308479,42879908
100-119% OF MSA/MD MEDIAN,239056,43897586,57416,9372022,152473,27738888,44,8420,132789,22006068,79715,13014227,193404,30549763,238567,37370779,283583,44995416
120% OR MORE OF MSA/MD MEDIAN,934210,211299170,101045,18557853,588404,133294734,113,29670,645557,197850219,376581,103970142,781485,180887996,1141415,294338820,1254003,316677277
INCOME NOT AVAILABLE  6/,293556,61530030,72294,11606204,188934,37424794,84,7882,619454,140406101,262028,46950528,328420,66117520,372558,76131234,386786,81542832
CENSUS TRACT CHARACTERISTICS  10/,,,,,,,,,,,,,,,,,,
RACIAL/ETHNIC COMPOSITION  11/,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY,781549,138457912,136684,19571953,533621,94296587,288,39485,396501,80675732,271449,50997044,495131,84500813,705931,130703691,695425,123748793
10-19% MINORITY,511352,98363699,99784,15717978,326734,63262614,115,15379,339304,83326154,209584,44607295,383445,73026430,526493,111278692,557312,113299556
20-49% MINORITY,575821,113301516,129196,19962728,336189,66849421,102,16109,522760,127553324,270729,57327792,530152,101557885,680394,144038665,805152,166112245
50-79% MINORITY,202114,41953034,41907,5972542,101967,21169082,39,7607,265984,63808854,111635,23555645,241982,48267753,278650,59584074,378466,78851781
80-100% MINORITY,132587,26362663,26475,4018423,55341,11202322,37,9033,217326,47593142,79020,15660024,187549,36649249,203466,40367530,282194,56855252
INCOME  12/ 13/,,,,,,,,,,,,,,,,,,
LOW INCOME,35627,6097353,5427,1019670,15458,2747452,6,1858,51662,9461065,20804,3656670,44894,7440230,51459,8730127,69782,12083978
MODERATE  INCOME,298501,50185045,66221,9300236,146557,24366818,103,16726,328966,60795094,146830,24104323,318111,51132458,365987,60203242,483390,80470179
MIDDLE INCOME,1156893,205043234,266501,38921985,720633,126653849,389,54054,853624,170990339,464889,81340491,932193,158151036,1198704,211818832,1376964,243925449
UPPER INCOME,711909,156977466,95864,15996013,470782,102900701,83,14975,507127,161543767,309551,82949314,542588,127152880,777765,204902523,787568,202143203
,,,,,,,,,,,,,,,,,,
TOTAL  14/,2212837,419741461,434437,65305349,1359056,257685110,590,90355,1745610,403609920,947454,193062409,1866035,349601263,2411307,497546826,2744063,544018526
,,,,,,,,,,,,,,,,Report Date:,06/01/2007,
