,,,,,,,,Federal Housing Finance Agency,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TABLE 15:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES BY STATE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State,Year,Contract,Initial,Effective,Term,Purchase,Loan-,Adjustable-,,,,,,,
,,Interest,Fees,Interest,to,Price,to-Price,Rate,,,,,,,
,,Rate,and,Rate,Maturity,($000),Ratio,Loans,,,,,,,
,,(%),Charges,(%),,,(%),(%),,,,,,,
,,,(%),,,,,,,,,,,,
,,,,,,,,,,,,,,,
Alabama,1978,9.40,2.26,9.78,27.50,53.40,79.10,N/A*,,,,,,,
Alabama,1979,10.53,2.04,10.89,27.50,60.70,77.00,N/A*,,,,,,,
Alabama,1980,11.94,2.26,12.36,28.50,69.70,75.70,N/A*,,,,,,,
Alabama,1981,13.21,2.82,13.77,28.90,59.60,82.50,N/A*,,,,,,,
Alabama,1982,14.21,2.10,14.64,28.90,53.00,86.20,N/A*,,,,,,,
Alabama,1983,11.87,3.00,12.44,24.50,61.50,81.10,N/A*,,,,,,,
Alabama,1984,11.33,2.86,11.85,28.40,70.70,86.40,N/A*,,,,,,,
Alabama,1985,10.54,3.00,11.07,27.50,80.50,83.00,N/A*,,,,,,,
Alabama,1986,9.76,2.37,10.16,25.60,90.40,78.40,16,,,,,,,
Alabama,1987,9.03,2.34,9.42,26.50,104.70,78.70,34,,,,,,,
Alabama,1988,8.77,2.34,9.15,27.80,109.20,80.02,62,,,,,,,
Alabama,1989,9.88,2.34,10.28,26.80,121.40,77.60,23,,,,,,,
Alabama,1990,9.80,1.99,10.14,25.37,131.62,75.80,16,,,,,,,
Alabama,1991,9.13,1.62,9.40,25.20,121.70,77.80,11,,,,,,,
Alabama,1992,7.83,1.05,8.03,21.30,124.00,73.90,15,,,,,,,
Alabama,1993,7.18,0.66,7.30,20.50,95.50,76.00,13,,,,,,,
Alabama,1994,7.82,0.94,7.99,21.70,103.50,82.30,23,,,,,,,
Alabama,1995,8.23,0.93,8.38,24.50,122.30,79.40,14,,,,,,,
Alabama,1996,7.81,0.92,7.97,23.50,126.50,82.00,8,,,,,,,
Alabama,1997,7.62,1.23,7.83,26.40,131.20,83.40,8,,,,,,,
Alabama,1998,6.99,0.91,7.13,27.50,146.80,82.80,5,,,,,,,
Alabama,1999,7.32,0.75,7.43,27.60,148.80,81.90,5,,,,,,,
Alabama,2000,8.08,0.69,8.19,28.40,140.80,82.30,7,,,,,,,
Alabama,2001,6.93,0.68,7.04,26.80,142.90,79.60,5,,,,,,,
Alabama,2002,6.54,0.74,6.65,27.20,147.00,80.80,10,,,,,,,
Alabama,2003,5.75,0.51,5.82,27.20,154.00,81.60,13,,,,,,,
Alabama,2004,5.89,0.68,5.99,28.00,165.40,80.70,31,,,,,,,
Alabama,2005,5.98,0.56,6.06,27.99,197.76,79.78,26,,,,,,,
Alabama,2006,6.73,0.52,6.81,28.40,199.79,80.72,15,,,,,,,
Alabama,2007,6.54,0.71,6.65,29.05,205.77,82.95,6,,,,,,,
Alabama,2008,6.02,0.64,6.12,28.88,234.26,80.67,N/A*,,,,,,,
Alabama,2009,4.93,0.98,5.07,27.84,239.83,76.81,3,,,,,,,
Alabama,2010,4.78,1.07,4.93,28.14,236.79,77.30,5,,,,,,,
Alabama,2011,4.51,0.99,4.65,27.10,236.40,78.27,N/A*,,,,,,,
Alabama,2012,3.64,1.07,3.80,26.62,240.38,78.42,8,,,,,,,
Alabama,2013,3.89,1.29,4.07,26.44,233.20,82.22,N/A*,,,,,,,
Alabama,2014,4.23,1.34,4.42,27.84,253.24,81.56,N/A*,,,,,,,
