cd,yr,qtr,index_nsa,index_sa,note
DV_MA,1994,1,102.48,102.71,
DV_MA,1994,2,103.37,102.72,
DV_MA,1994,3,103.99,102.82,
DV_MA,1994,4,102.8,102.26,
DV_MA,1995,1,102.03,102.34,
DV_MA,1995,2,103.3,102.56,
DV_MA,1995,3,104.2,102.97,
DV_MA,1995,4,103.55,103.05,
DV_MA,1996,1,102.88,103.26,
DV_MA,1996,2,104.45,103.61,
DV_MA,1996,3,104.74,103.51,
DV_MA,1996,4,104.05,103.54,
DV_MA,1997,1,103.19,103.63,
DV_MA,1997,2,104.91,104.03,
DV_MA,1997,3,105.36,104.11,
DV_MA,1997,4,105.21,104.7,
DV_MA,1998,1,105.02,105.47,
DV_MA,1998,2,107.61,106.73,
DV_MA,1998,3,108.89,107.56,
DV_MA,1998,4,109.64,109.09,
DV_MA,1999,1,110.38,110.84,
DV_MA,1999,2,113.03,112.18,
DV_MA,1999,3,115.39,113.92,
DV_MA,1999,4,116.21,115.61,
DV_MA,2000,1,117.09,117.59,
DV_MA,2000,2,120.01,119.19,
DV_MA,2000,3,123.08,121.44,
DV_MA,2000,4,124.25,123.56,
DV_MA,2001,1,124.88,125.46,
DV_MA,2001,2,129.05,128.24,
DV_MA,2001,3,132.9,131.07,
DV_MA,2001,4,134.3,133.48,
DV_MA,2002,1,135.94,136.61,
DV_MA,2002,2,140.68,139.83,
DV_MA,2002,3,145.36,143.34,
DV_MA,2002,4,148.63,147.67,
DV_MA,2003,1,150.91,151.69,
DV_MA,2003,2,156.48,155.56,
DV_MA,2003,3,162.55,160.3,
DV_MA,2003,4,165.41,164.3,
DV_MA,2004,1,165.52,166.35,
DV_MA,2004,2,172.29,171.27,
DV_MA,2004,3,177.63,175.2,
DV_MA,2004,4,181.25,180.02,
DV_MA,2005,1,184.41,185.27,
DV_MA,2005,2,191.98,190.84,
DV_MA,2005,3,198.94,196.28,
DV_MA,2005,4,202.83,201.47,
DV_MA,2006,1,204.86,205.74,
DV_MA,2006,2,209.31,208.06,
DV_MA,2006,3,212.27,209.44,
DV_MA,2006,4,211.92,210.52,
DV_MA,2007,1,210.99,211.91,
DV_MA,2007,2,210.92,209.63,
DV_MA,2007,3,210.47,207.59,
DV_MA,2007,4,206.77,205.34,
DV_MA,2008,1,202.68,203.78,
DV_MA,2008,2,201.2,199.89,
DV_MA,2008,3,199.08,196.18,
DV_MA,2008,4,193.98,192.6,
DV_MA,2009,1,187.74,189.12,
DV_MA,2009,2,188.39,187,
DV_MA,2009,3,189.87,186.91,
DV_MA,2009,4,188.08,186.74,
DV_MA,2010,1,183.55,185.28,
DV_MA,2010,2,186.47,184.88,
DV_MA,2010,3,182.52,179.48,
DV_MA,2010,4,179.94,178.75,
DV_MA,2011,1,174.47,176.38,
DV_MA,2011,2,177.32,175.6,
DV_MA,2011,3,179.21,176.06,
DV_MA,2011,4,175.17,174.15,
DV_MA,2012,1,172.8,174.83,
DV_MA,2012,2,177.87,176,
DV_MA,2012,3,178.96,175.7,
DV_MA,2012,4,178.11,177.2,
DV_MA,2013,1,176.13,178.23,
DV_MA,2013,2,181.02,179.04,
DV_MA,2013,3,183.8,180.39,
DV_MA,2013,4,182.28,181.43,
DV_MA,2014,1,179.77,181.93,
DV_MA,2014,2,184.76,182.69,
DV_MA,2014,3,187.94,184.39,
DV_MA,2014,4,185.59,184.75,
DV_MA,2015,1,184.12,186.28,
DV_MA,2015,2,190.25,188.12,
DV_MA,2015,3,191.26,187.63,
DV_MA,2015,4,188.76,187.9,
DV_MA,2016,1,187.4,189.54,
DV_MA,2016,2,193.34,191.22,
DV_MA,2016,3,196.86,193.13,
DV_MA,2016,4,195.87,194.95,
DV_MA,2017,1,194.23,196.36,
DV_MA,2017,2,200.65,198.51,
DV_MA,2017,3,205.6,201.71,
DV_MA,2017,4,206.2,205.17,
DV_MA,2018,1,206.21,208.42,
DV_MA,2018,2,214.08,211.82,
DV_MA,2018,3,218.85,214.71,
DV_MA,2018,4,218.76,217.6,
DV_MA,2019,1,217.83,220.14,
DV_MT,1991,1,100,100,
DV_MT,1991,2,100.7,100.3,
DV_MT,1991,3,102.16,101.38,
DV_MT,1991,4,103.56,103.14,
DV_MT,1992,1,104.13,104.15,
DV_MT,1992,2,105.75,105.28,
DV_MT,1992,3,107.86,107.02,
DV_MT,1992,4,109.67,109.25,
DV_MT,1993,1,111.26,111.33,
DV_MT,1993,2,114.72,114.13,
DV_MT,1993,3,118.13,117.2,
DV_MT,1993,4,120.46,120.06,
DV_MT,1994,1,122.97,123.07,
DV_MT,1994,2,126.97,126.23,
DV_MT,1994,3,129.88,128.85,
DV_MT,1994,4,131.73,131.39,
DV_MT,1995,1,133.33,133.43,
DV_MT,1995,2,136.74,135.86,
DV_MT,1995,3,139.04,137.96,
DV_MT,1995,4,140.1,139.81,
DV_MT,1996,1,141.77,141.82,
DV_MT,1996,2,144.6,143.62,
DV_MT,1996,3,145.99,144.92,
DV_MT,1996,4,146.6,146.33,
DV_MT,1997,1,147.9,147.91,
DV_MT,1997,2,150.06,149.03,
DV_MT,1997,3,151.45,150.38,
DV_MT,1997,4,151.76,151.48,
DV_MT,1998,1,153.54,153.51,
DV_MT,1998,2,156.07,154.99,
DV_MT,1998,3,158,156.91,
DV_MT,1998,4,159.55,159.21,
DV_MT,1999,1,161.25,161.25,
DV_MT,1999,2,164.97,163.82,
DV_MT,1999,3,167.4,166.27,
DV_MT,1999,4,169.44,169.04,
DV_MT,2000,1,171.59,171.62,
DV_MT,2000,2,175.31,174.09,
DV_MT,2000,3,177.54,176.33,
DV_MT,2000,4,179.39,178.91,
DV_MT,2001,1,181.92,182.03,
DV_MT,2001,2,185.3,184.02,
DV_MT,2001,3,187.52,186.18,
DV_MT,2001,4,188.7,188.18,
DV_MT,2002,1,189.84,190.05,
DV_MT,2002,2,193.78,192.45,
DV_MT,2002,3,195.95,194.47,
DV_MT,2002,4,197.38,196.82,
DV_MT,2003,1,199.01,199.35,
DV_MT,2003,2,203.11,201.7,
DV_MT,2003,3,206.85,205.17,
DV_MT,2003,4,209.97,209.39,
DV_MT,2004,1,213.71,214.2,
DV_MT,2004,2,222.66,221.09,
DV_MT,2004,3,230.21,228.18,
DV_MT,2004,4,236.58,235.94,
DV_MT,2005,1,245.31,246.05,
DV_MT,2005,2,258.43,256.61,
DV_MT,2005,3,270.16,267.49,
DV_MT,2005,4,277.39,276.69,
DV_MT,2006,1,283.21,284.37,
DV_MT,2006,2,290.7,288.65,
DV_MT,2006,3,294.12,290.84,
DV_MT,2006,4,294.43,293.66,
DV_MT,2007,1,293.06,294.73,
DV_MT,2007,2,294,291.84,
DV_MT,2007,3,288.9,285.39,
DV_MT,2007,4,276.95,276.14,
DV_MT,2008,1,264.33,266.27,
DV_MT,2008,2,257.73,255.7,
DV_MT,2008,3,248.75,245.59,
DV_MT,2008,4,232.59,231.83,
DV_MT,2009,1,218.11,220.01,
DV_MT,2009,2,216.28,214.37,
DV_MT,2009,3,216.54,213.74,
DV_MT,2009,4,214.65,213.91,
DV_MT,2010,1,209.39,211.28,
DV_MT,2010,2,210.76,208.7,
DV_MT,2010,3,204.27,201.69,
DV_MT,2010,4,198.7,198.11,
DV_MT,2011,1,192.35,194.03,
DV_MT,2011,2,193.14,191.07,
DV_MT,2011,3,193.89,191.53,
DV_MT,2011,4,193.54,193.13,
DV_MT,2012,1,196.31,197.8,
DV_MT,2012,2,206.97,204.66,
DV_MT,2012,3,213.75,211.25,
DV_MT,2012,4,217.72,217.47,
DV_MT,2013,1,223.04,224.4,
DV_MT,2013,2,233.74,231.11,
DV_MT,2013,3,239.71,237,
DV_MT,2013,4,241.33,241.23,
DV_MT,2014,1,244.6,245.73,
DV_MT,2014,2,250.98,248.21,
DV_MT,2014,3,254.76,252.03,
DV_MT,2014,4,256.27,256.26,
DV_MT,2015,1,260,260.89,
DV_MT,2015,2,268.26,265.36,
DV_MT,2015,3,273.08,270.34,
DV_MT,2015,4,274.86,274.82,
DV_MT,2016,1,279.11,279.76,
DV_MT,2016,2,287.76,284.74,
DV_MT,2016,3,292.57,289.85,
DV_MT,2016,4,295.86,295.74,
DV_MT,2017,1,300.84,301.31,
DV_MT,2017,2,310.69,307.48,
DV_MT,2017,3,316.7,313.92,
DV_MT,2017,4,321.1,320.89,
DV_MT,2018,1,329.34,329.71,
DV_MT,2018,2,339.74,336.24,
DV_MT,2018,3,346.17,343.24,
DV_MT,2018,4,349.93,349.64,
DV_MT,2019,1,355.15,355.43,
DV_NE,1991,1,100,100,
DV_NE,1991,2,98.5,98.31,
DV_NE,1991,3,97.95,97.36,
DV_NE,1991,4,97.24,97.31,
DV_NE,1992,1,98.02,98.09,
DV_NE,1992,2,96.59,96.36,
DV_NE,1992,3,96.32,95.7,
DV_NE,1992,4,96.59,96.65,
DV_NE,1993,1,93.91,94.1,
DV_NE,1993,2,95.28,95,
DV_NE,1993,3,95.47,94.8,
DV_NE,1993,4,94.88,94.92,
DV_NE,1994,1,94.99,95.33,
DV_NE,1994,2,96.06,95.7,
DV_NE,1994,3,96.38,95.63,
DV_NE,1994,4,95.52,95.58,
DV_NE,1995,1,95.04,95.5,
DV_NE,1995,2,96.39,95.96,
DV_NE,1995,3,97.51,96.68,
DV_NE,1995,4,96.81,96.87,
DV_NE,1996,1,97.33,97.92,
DV_NE,1996,2,98.87,98.37,
DV_NE,1996,3,99.89,98.98,
DV_NE,1996,4,99.41,99.47,
DV_NE,1997,1,99.89,100.58,
DV_NE,1997,2,101.72,101.16,
DV_NE,1997,3,102.98,102,
DV_NE,1997,4,103.53,103.54,
DV_NE,1998,1,104.35,105.19,
DV_NE,1998,2,107.52,106.9,
DV_NE,1998,3,109.91,108.81,
DV_NE,1998,4,111.2,111.19,
DV_NE,1999,1,112.65,113.65,
DV_NE,1999,2,117.35,116.65,
DV_NE,1999,3,120.76,119.5,
DV_NE,1999,4,122.44,122.39,
DV_NE,2000,1,124.45,125.65,
DV_NE,2000,2,130.43,129.69,
DV_NE,2000,3,134.88,133.39,
DV_NE,2000,4,137.58,137.49,
DV_NE,2001,1,140.06,141.46,
DV_NE,2001,2,146.37,145.59,
DV_NE,2001,3,151.76,150.03,
DV_NE,2001,4,153.44,153.31,
DV_NE,2002,1,156.12,157.67,
DV_NE,2002,2,163.84,163.01,
DV_NE,2002,3,170.76,168.8,
DV_NE,2002,4,174.04,173.87,
DV_NE,2003,1,176.53,178.25,
DV_NE,2003,2,183.34,182.41,
DV_NE,2003,3,189.51,187.37,
DV_NE,2003,4,193.91,193.72,
DV_NE,2004,1,196.98,198.86,
DV_NE,2004,2,206.36,205.29,
DV_NE,2004,3,213.34,211.07,
DV_NE,2004,4,216.76,216.51,
DV_NE,2005,1,220.82,222.88,
DV_NE,2005,2,229.06,227.82,
DV_NE,2005,3,234.58,232.16,
DV_NE,2005,4,234.72,234.41,
DV_NE,2006,1,233.5,235.68,
DV_NE,2006,2,237.1,235.84,
DV_NE,2006,3,235.4,232.93,
DV_NE,2006,4,232.97,232.57,
DV_NE,2007,1,228.68,231.04,
DV_NE,2007,2,228.97,227.66,
DV_NE,2007,3,226.38,223.93,
DV_NE,2007,4,220.89,220.32,
DV_NE,2008,1,212.95,215.53,
DV_NE,2008,2,211.09,209.74,
DV_NE,2008,3,208.4,206.04,
DV_NE,2008,4,200.19,199.49,
DV_NE,2009,1,195.86,198.72,
DV_NE,2009,2,197.79,196.28,
DV_NE,2009,3,198,195.61,
DV_NE,2009,4,196.31,195.54,
DV_NE,2010,1,188.29,191.47,
DV_NE,2010,2,194.4,192.64,
DV_NE,2010,3,190.04,187.49,
DV_NE,2010,4,188.45,187.8,
DV_NE,2011,1,181.96,185.44,
DV_NE,2011,2,186.19,184.18,
DV_NE,2011,3,187.16,184.39,
DV_NE,2011,4,182.8,182.39,
DV_NE,2012,1,178.53,182.19,
DV_NE,2012,2,185.55,183.27,
DV_NE,2012,3,187.18,184.17,
DV_NE,2012,4,186.73,186.58,
DV_NE,2013,1,185.76,189.61,
DV_NE,2013,2,194.29,191.74,
DV_NE,2013,3,198.36,195.05,
DV_NE,2013,4,195.09,195.17,
DV_NE,2014,1,193.1,196.93,
DV_NE,2014,2,201.95,199.29,
DV_NE,2014,3,203.53,200.19,
DV_NE,2014,4,201.97,202.14,
DV_NE,2015,1,200.13,203.8,
DV_NE,2015,2,211.03,208.3,
DV_NE,2015,3,213.29,210.06,
DV_NE,2015,4,211.64,211.71,
DV_NE,2016,1,210.37,213.82,
DV_NE,2016,2,219.07,216.44,
DV_NE,2016,3,222.93,219.89,
DV_NE,2016,4,223.42,223.29,
DV_NE,2017,1,224.53,227.8,
DV_NE,2017,2,232.1,229.57,
DV_NE,2017,3,236.54,233.59,
DV_NE,2017,4,238.23,237.89,
DV_NE,2018,1,239.11,242.22,
DV_NE,2018,2,246.44,244.03,
DV_NE,2018,3,251.03,248.07,
DV_NE,2018,4,251.92,251.4,
DV_NE,2019,1,251.19,254.24,
DV_PAC,1991,1,100,100,
DV_PAC,1991,2,101.18,100.35,
DV_PAC,1991,3,101.81,100.76,
DV_PAC,1991,4,101.61,100.98,
DV_PAC,1992,1,100.91,100.91,
DV_PAC,1992,2,100.49,99.66,
DV_PAC,1992,3,100.83,99.79,
DV_PAC,1992,4,99.83,99.23,
DV_PAC,1993,1,98.25,98.24,
DV_PAC,1993,2,98.75,97.92,
DV_PAC,1993,3,98.3,97.26,
DV_PAC,1993,4,97.76,97.21,
DV_PAC,1994,1,96.87,96.85,
DV_PAC,1994,2,98.27,97.43,
DV_PAC,1994,3,98.54,97.5,
DV_PAC,1994,4,98.16,97.66,
DV_PAC,1995,1,97.76,97.72,
DV_PAC,1995,2,98.54,97.67,
DV_PAC,1995,3,98.85,97.8,
DV_PAC,1995,4,98.22,97.78,
DV_PAC,1996,1,97.81,97.75,
DV_PAC,1996,2,98.9,97.98,
DV_PAC,1996,3,99.37,98.31,
DV_PAC,1996,4,99.14,98.74,
DV_PAC,1997,1,99.61,99.53,
DV_PAC,1997,2,101.2,100.23,
DV_PAC,1997,3,102.58,101.5,
DV_PAC,1997,4,103.35,102.97,
DV_PAC,1998,1,104.95,104.85,
DV_PAC,1998,2,108.18,107.12,
DV_PAC,1998,3,110.26,109.11,
DV_PAC,1998,4,111.7,111.3,
DV_PAC,1999,1,113.39,113.29,
DV_PAC,1999,2,117.32,116.15,
DV_PAC,1999,3,119.17,117.93,
DV_PAC,1999,4,121.35,120.9,
DV_PAC,2000,1,124.56,124.47,
DV_PAC,2000,2,129.24,127.96,
DV_PAC,2000,3,132.48,131.05,
DV_PAC,2000,4,135.6,135.08,
DV_PAC,2001,1,138.49,138.47,
DV_PAC,2001,2,141.99,140.6,
DV_PAC,2001,3,145.05,143.41,
DV_PAC,2001,4,146.45,145.84,
DV_PAC,2002,1,149.87,149.93,
DV_PAC,2002,2,156.76,155.29,
DV_PAC,2002,3,162.55,160.58,
DV_PAC,2002,4,166.56,165.86,
DV_PAC,2003,1,170.44,170.62,
DV_PAC,2003,2,177.87,176.23,
DV_PAC,2003,3,185.58,183.22,
DV_PAC,2003,4,192.83,191.97,
DV_PAC,2004,1,201.08,201.39,
DV_PAC,2004,2,214.87,212.95,
DV_PAC,2004,3,227.02,224.01,
DV_PAC,2004,4,235.59,234.46,
DV_PAC,2005,1,245.62,246.18,
DV_PAC,2005,2,259.71,257.45,
DV_PAC,2005,3,272.26,268.5,
DV_PAC,2005,4,278.8,277.33,
DV_PAC,2006,1,283.21,284.08,
DV_PAC,2006,2,288.38,286.02,
DV_PAC,2006,3,288.97,284.74,
DV_PAC,2006,4,285.47,283.75,
DV_PAC,2007,1,280.51,281.71,
DV_PAC,2007,2,274.9,272.7,
DV_PAC,2007,3,264.74,260.71,
DV_PAC,2007,4,246.67,244.99,
DV_PAC,2008,1,227.08,228.32,
DV_PAC,2008,2,215.61,213.89,
DV_PAC,2008,3,204.05,200.82,
DV_PAC,2008,4,189.92,188.51,
DV_PAC,2009,1,178.13,179.34,
DV_PAC,2009,2,176.05,174.53,
DV_PAC,2009,3,178.41,175.52,
DV_PAC,2009,4,178.62,177.3,
DV_PAC,2010,1,175.47,176.78,
DV_PAC,2010,2,177.97,176.29,
DV_PAC,2010,3,174.39,171.54,
DV_PAC,2010,4,170.27,169.12,
DV_PAC,2011,1,165.8,167.1,
DV_PAC,2011,2,166.18,164.39,
DV_PAC,2011,3,166.39,163.72,
DV_PAC,2011,4,164.44,163.53,
DV_PAC,2012,1,163.53,164.72,
DV_PAC,2012,2,170.99,168.95,
DV_PAC,2012,3,176.47,173.72,
DV_PAC,2012,4,180.85,180.06,
DV_PAC,2013,1,186.72,187.93,
DV_PAC,2013,2,198.73,196.15,
DV_PAC,2013,3,207.17,204.11,
DV_PAC,2013,4,210.46,209.75,
DV_PAC,2014,1,213.5,214.64,
DV_PAC,2014,2,221.69,218.7,
DV_PAC,2014,3,225.9,222.74,
DV_PAC,2014,4,227.34,226.69,
DV_PAC,2015,1,230.52,231.47,
DV_PAC,2015,2,239.49,236.23,
DV_PAC,2015,3,243.27,240.08,
DV_PAC,2015,4,245.55,244.91,
DV_PAC,2016,1,249.72,250.41,
DV_PAC,2016,2,258.24,254.79,
DV_PAC,2016,3,263.12,259.85,
DV_PAC,2016,4,266.57,265.85,
DV_PAC,2017,1,271.11,271.58,
DV_PAC,2017,2,280.69,277.04,
DV_PAC,2017,3,286.18,282.74,
DV_PAC,2017,4,290.59,289.78,
DV_PAC,2018,1,295.76,296.06,
DV_PAC,2018,2,304.75,300.88,
DV_PAC,2018,3,309.66,306,
DV_PAC,2018,4,310.66,309.75,
DV_PAC,2019,1,313.91,314.12,
DV_SA,1991,1,100,100,
DV_SA,1991,2,100.26,99.85,
DV_SA,1991,3,100.47,99.84,
DV_SA,1991,4,101.32,100.67,
DV_SA,1992,1,101.74,101.74,
DV_SA,1992,2,101.9,101.48,
